title,house_name,price,position_info,longitude,latitude,url
白云明珠广场 新精装修 房入房两房 总价,机场路华明街白云明珠广场,33147,机场路,113.265292,23.187554,https://gz.lianjia.com/ershoufang/GZ0003082596.html
聚德花园 2000年楼龄 南向电梯两房,聚德花园,36364,赤岗,113.338396,23.08985,https://gz.lianjia.com/ershoufang/GZ0002722805.html
翠拥华庭锋尚 精致一房 保养好,翠拥华庭锋尚,43023,车陂,113.400459,23.133303,https://gz.lianjia.com/ershoufang/GZ0002785514.html
金碧花园三期 安静望花园 户型好 地铁口,金碧花园第三金碧,45192,金碧,113.295173,23.071178,https://gz.lianjia.com/ershoufang/GZ0002641636.html
江南新村 户型方正 交通方便,江南新村2街,16646,市桥,113.365443,22.965093,https://gz.lianjia.com/ershoufang/GZ0002876762.html
东川路 地铁沿线 南向两房出售,东川路,48249,东川路,113.29281,23.130016,https://gz.lianjia.com/ershoufang/GZ0002344377.html
协和新世界 正宗的一房一厅 花园小区,协和新世界,76596,天河北,113.344584,23.147957,https://gz.lianjia.com/ershoufang/GZ0003002081.html
侨基花园 电梯景观 采光好,侨基花园,22342,市桥,113.365764,22.961459,https://gz.lianjia.com/ershoufang/GZ0003046330.html
自在城市花园 温馨三房 望花园单位,自在城市花园自在华庭,29623,华南,113.356896,22.994109,https://gz.lianjia.com/ershoufang/GZ0003010812.html
怡港花园 东南向大三房 高层,怡港花园怡康楼,44625,区府,113.459103,23.105693,https://gz.lianjia.com/ershoufang/GZ0003020216.html
时代玫瑰园 大三房 南向望花园 厅出阳台,时代玫瑰园,40844,白云大道北,113.292806,23.230914,https://gz.lianjia.com/ershoufang/GZ0003067932.html
海珠半岛花园 市区临江三房,海珠半岛花园,54444,滨江东,113.301627,23.109824,https://gz.lianjia.com/ershoufang/GZ0002862991.html
时代玫瑰园 大三房 南向望花园 厅出阳台,时代玫瑰园,40844,白云大道北,113.292806,23.230914,https://gz.lianjia.com/ershoufang/GZ0003067932.html
东海花园 望花园两房,东海花园,39541,洛溪,113.322524,23.040005,https://gz.lianjia.com/ershoufang/GZ0003035431.html
第三金碧 南向三房中高层安静望花园望江景,金碧花园第三金碧,45341,金碧,113.295173,23.071178,https://gz.lianjia.com/ershoufang/GZ0002849699.html
万科城市花园实用精装高层两房新装修,万科城市花园,37015,区府,113.475207,23.111503,https://gz.lianjia.com/ershoufang/GZ0002876732.html
侨诚花园 温馨舒适两房 家私电器全齐,侨诚花园秋月苑,35167,金碧,113.297901,23.074713,https://gz.lianjia.com/ershoufang/GZ0002984717.html
实用温馨单位 配套完善,聚德花园,37857,赤岗,113.338396,23.08985,https://gz.lianjia.com/ershoufang/GZ0003076953.html
交通便利房源 方正三房 采光好,富丽家园富海居,26087,大石,113.323421,23.022272,https://gz.lianjia.com/ershoufang/GZ0003100065.html
天朗明居厅出两房 安静望花园 采光好,富力天朗明居N区,46795,棠下,113.397799,23.133817,https://gz.lianjia.com/ershoufang/GZ0002987873.html
南华花园 实用两房两厅 格局通风好,南华花园,33001,新港西,113.295201,23.093145,https://gz.lianjia.com/ershoufang/GZ0002964344.html
趣园南街 南向3房 带固定露天车位出售,锦绣生态园趣园,21399,钟村,113.31477,22.979686,https://gz.lianjia.com/ershoufang/GZ0002280495.html
银汇华庭 厅出阳台南向大两房,银汇华庭银汇大厦,66977,天润路,113.351248,23.149829,https://gz.lianjia.com/ershoufang/GZ0002608145.html
锦明街 户型方正 两房一厅 采光好,黄埔大道中锦明街,39815,天河公园,113.375967,23.128645,https://gz.lianjia.com/ershoufang/GZ0002849536.html
湖景居  实用三房,祈福新村湖景居,25000,祈福,113.334829,22.96408,https://gz.lianjia.com/ershoufang/GZ0002948690.html
穗园小区 南房两房 舒适单位,穗园小区,61626,天润路,113.3463,23.151544,https://gz.lianjia.com/ershoufang/GZ0002964067.html
荔香花园 温馨两房 装修保养新颖,荔香花园,26840,区府,113.45077,23.102132,https://gz.lianjia.com/ershoufang/GZ0002966980.html
富力桃园 舒适二房 保养通风佳,富力桃园,34838,罗冲围,113.238036,23.15677,https://gz.lianjia.com/ershoufang/GZ0003039057.html
富力天朗明居 精装两房 安静望花园,富力天朗明居S区,42318,棠下,113.398136,23.132471,https://gz.lianjia.com/ershoufang/GZ0002865821.html
华康小区 精装修三房 户型方正,华康小区华升街,58442,体育中心,113.338818,23.144209,https://gz.lianjia.com/ershoufang/GZ0003074401.html
惠城花园 惠景楼单位 交通便利,惠城花园,37864,西关,113.253005,23.128432,https://gz.lianjia.com/ershoufang/GZ0003104688.html
华乐苑 南向大阳台 采光好,华乐苑,41916,新港西,113.320627,23.102557,https://gz.lianjia.com/ershoufang/GZ0002820962.html
紫薇苑 中层单位,紫薇苑,19231,同德围,113.248647,23.185745,https://gz.lianjia.com/ershoufang/GZ0002882451.html
保利红棉花园 楼梯低层 证过五年,保利红棉花园,29553,江燕路,113.284181,23.08123,https://gz.lianjia.com/ershoufang/GZ0002572922.html
侨基花园66方两房 东南向 采光好,侨基花园,24242,市桥,113.365764,22.961459,https://gz.lianjia.com/ershoufang/GZ0003082363.html
下塘西路 大院管理 实用两房,下塘西路,32759,麓景,113.2808,23.151624,https://gz.lianjia.com/ershoufang/GZ0002889862.html
诺德名都 精装三房 高层视野 望小蛮腰,自在城市花园三期诺德名都,34250,华南,113.351946,22.995141,https://gz.lianjia.com/ershoufang/GZ0003073340.html
翠湖山庄 东向望花园 户型方正,翠湖山庄,45783,天河公园,113.359064,23.132577,https://gz.lianjia.com/ershoufang/GZ0003110306.html
天诚广场实用单间 龙口西路 户型好,天诚广场世纪华都,79780,天河北,113.347373,23.148609,https://gz.lianjia.com/ershoufang/GZ0002862123.html
翠安侬苑 舒适三房带主套 高层没遮挡,华景新城翠安侬苑,52682,华景新城,113.36738,23.146628,https://gz.lianjia.com/ershoufang/GZ0002743956.html
岭南新世界 中楼层 南向四房,岭南新世界2D区倚湾园,42500,白云大道北,113.297902,23.237653,https://gz.lianjia.com/ershoufang/GZ0002862128.html
东湖映月 从未入住 南北对流,东湖映月,30284,白云大道北,113.328487,23.280693,https://gz.lianjia.com/ershoufang/GZ0003072313.html
华南碧桂园  实用三房,华南碧桂园芳翠苑,29907,华南,113.366623,22.99971,https://gz.lianjia.com/ershoufang/GZ0003095769.html
太阳广场 精装大三房 安静舒适,太阳广场,59296,天润路,113.34697,23.149613,https://gz.lianjia.com/ershoufang/GZ0002776636.html
实用三房 配套完善 省府,省府宿舍,62136,天河北,113.345636,23.148924,https://gz.lianjia.com/ershoufang/GZ0003045087.html
荔园小区 精装两房 采光好 南北对流,荔园小区荔香二街,31710,区府,113.452317,23.104187,https://gz.lianjia.com/ershoufang/GZ0003097318.html
天河南 六运小区 低楼层 户型方正,六运小区六运二街,50725,天河南,113.331353,23.13537,https://gz.lianjia.com/ershoufang/GZ0003029646.html
珠江帝景 克莱公寓 高层东南向,珠江帝景苑克莱国际公寓灏景轩,63492,赤岗,113.333391,23.110206,https://gz.lianjia.com/ershoufang/GZ0002725277.html
华南碧桂园翠云山  保养好 四房,华南碧桂园翠云山,30000,华南,113.383863,23.00782,https://gz.lianjia.com/ershoufang/GZ0002823455.html
自在城市花园 明苑大三房 楼层好 采光好,自在城市花园自在明苑,27670,华南,113.355571,22.994242,https://gz.lianjia.com/ershoufang/GZ0002907172.html
自在大型小区 温馨三房,自在城市花园自在明苑,29474,华南,113.355571,22.994242,https://gz.lianjia.com/ershoufang/GZ0002986105.html
泰景花园 精装修实用两房 安静不吵,泰景花园文苑阁,30332,区府,113.461162,23.115412,https://gz.lianjia.com/ershoufang/GZ0002905920.html
大石富庭华园 温馨两房 望花园 带天台,富庭华园1街,28386,大石,113.320745,23.0284,https://gz.lianjia.com/ershoufang/GZ0002990768.html
东山雅筑 大型小区 方正大三房 配套成熟,东山雅筑,82197,东风东,113.310673,23.136741,https://gz.lianjia.com/ershoufang/GZ0003008703.html
绿庭雅苑 大三房 东南向,绿庭雅苑,20651,沙湾,113.376766,22.927693,https://gz.lianjia.com/ershoufang/GZ0003097668.html
金碧新城 望花园 视野开阔,金碧新城,35223,石井,113.249526,23.209834,https://gz.lianjia.com/ershoufang/GZ0003107632.html
顺景雅苑 南向三房 交通便利,顺景雅苑顺盈居,42478,新港西,113.299894,23.093735,https://gz.lianjia.com/ershoufang/GZ0003002421.html
金碧领秀国际 实用两房 高层视野开阔,金碧领秀国际,41019,区府,113.467324,23.103322,https://gz.lianjia.com/ershoufang/GZ0003003876.html
塞纳宫 少有三房 详情点击更多房评,海珠花园塞纳宫园,49958,前进路,113.287578,23.105261,https://gz.lianjia.com/ershoufang/GZ0002318343.html
鸿运花园 方正两房 装修保养好,天河鸿运花园,32231,天河公园,113.374251,23.129355,https://gz.lianjia.com/ershoufang/GZ0002742435.html
天朗明居 N区南向采光充足  三房户型,富力天朗明居N区,47751,棠下,113.397799,23.133817,https://gz.lianjia.com/ershoufang/GZ0002779746.html
广州雅居乐花园 一尺山居南向小2房,广州雅居乐花园一尺山居,33125,华南,113.365809,23.015465,https://gz.lianjia.com/ershoufang/GZ0002855955.html
广发新村 精致三房 采光通风,广发新村,29864,赤岗,113.336601,23.100898,https://gz.lianjia.com/ershoufang/GZ0002956426.html
锦绣香江布查特公寓 保养新净 视野好,锦绣香江花园布查特国际公寓,29545,华南,113.349007,23.000304,https://gz.lianjia.com/ershoufang/GZ0002957646.html
华景新城 陶然庭园 低层安静两房,华景新城陶然庭园,54036,华景新城,113.36671,23.14856,https://gz.lianjia.com/ershoufang/GZ0002967722.html
江燕路南景园 大型小区 望花园泳池,南景园馨竹轩,44737,江燕路,113.282733,23.086898,https://gz.lianjia.com/ershoufang/GZ0003073401.html
黄埔花园 南向温馨两房 方正户型,黄埔花园,40283,区府,113.462888,23.104905,https://gz.lianjia.com/ershoufang/GZ0002549296.html
聚德花园 正规一房 户型实用,聚德花园,29114,赤岗,113.338396,23.08985,https://gz.lianjia.com/ershoufang/GZ0002903404.html
金田花园 方正三房 带平台 龙口西**,金田花苑,71579,天河北,113.342589,23.148793,https://gz.lianjia.com/ershoufang/GZ0002276326.html
晓园新村 东南向大两房 带天台花园,晓园新村晓园新,24000,昌岗,113.287625,23.092596,https://gz.lianjia.com/ershoufang/GZ0003086982.html
美林海岸花园 复式三层7房 视野开阔通风,美林海岸花园翠堤湾畔,48077,员村,113.378105,23.120552,https://gz.lianjia.com/ershoufang/GZ0002756321.html
金田花苑二期 精装3房 户型方正,金田花苑,56667,天河北,113.342589,23.148793,https://gz.lianjia.com/ershoufang/GZ0002890216.html
翡翠绿洲 高层复式单位 挑高9米可做,翡翠绿洲森林半岛,19324,新塘,113.565886,23.142768,https://gz.lianjia.com/ershoufang/GZ0003003180.html
天誉花园一期  交通便利 原始格局,天誉花园,45817,天河北,113.332917,23.151935,https://gz.lianjia.com/ershoufang/GZ0002200009.html
洛湖居 复式 保养新,芳华花园洛湖居,23968,洛溪,113.312432,23.049833,https://gz.lianjia.com/ershoufang/GZ0002405182.html
新世界东逸花园 方正3房 实用率92%,新世界东逸花园,60000,天河公园,113.366409,23.134098,https://gz.lianjia.com/ershoufang/GZ0002604492.html
鸿翔大厦 大三房 户型方正 配套成熟,鸿翔大厦,60165,天河北,113.347724,23.147658,https://gz.lianjia.com/ershoufang/GZ0002649504.html
美林海岸花园 精装修  东南 实用,美林海岸花园云河轩,57143,员村,113.380396,23.1202,https://gz.lianjia.com/ershoufang/GZ0002747768.html
华乐苑 电梯两房 业主新装修,华乐苑,43386,新港西,113.320627,23.102557,https://gz.lianjia.com/ershoufang/GZ0002748897.html
太阳广场 西南两房可改三房 精装修,太阳广场,60926,天润路,113.34697,23.149613,https://gz.lianjia.com/ershoufang/GZ0002752878.html
保利花园 电梯复式4房 交通便利,保利花园保康路,50945,工业大道中,113.281655,23.077097,https://gz.lianjia.com/ershoufang/GZ0002197261.html
时尚明苑 地铁BRT 高层东向两房,时尚明苑,46923,车陂,113.400706,23.131288,https://gz.lianjia.com/ershoufang/GZ0002922709.html
荔湾路荔京阁  方正实用三房 高层带主套,荔京阁,48029,荔湾路,113.250515,23.136541,https://gz.lianjia.com/ershoufang/GZ0003041939.html
花园江景尽收眼底 近市二宫地铁 大三房,中海名都,58559,滨江中,113.282006,23.114544,https://gz.lianjia.com/ershoufang/GZ0003043208.html
小区管理 通风采光好 格局方正,越华大厦,45175,农讲所,113.279832,23.134302,https://gz.lianjia.com/ershoufang/GZ0003051322.html
易丰大厦 户型方正 精装三房 交通便利,易丰大厦,60000,天河公园,113.358932,23.134604,https://gz.lianjia.com/ershoufang/GZ0003064976.html
金道花园 温馨电梯两房 配套完善,金道花园金光大街,29715,鹤洞,113.240535,23.077463,https://gz.lianjia.com/ershoufang/GZ0003095718.html
中海安静两房 户型方正 花园小区,中海名都,57170,滨江中,113.282006,23.114544,https://gz.lianjia.com/ershoufang/GZ0003095832.html
阳光假日园 南向小3房 格局方正,阳光假日园,50799,棠下,113.398451,23.13493,https://gz.lianjia.com/ershoufang/GZ0003066933.html
天朗明居 南北对流两房 温馨舒适居家,富力天朗明居S区,48485,棠下,113.398136,23.132471,https://gz.lianjia.com/ershoufang/GZ0003067257.html
保利花园 电梯南向三房 实用舒适单位,保利花园镜湖西街,46396,工业大道中,113.280613,23.077251,https://gz.lianjia.com/ershoufang/GZ0003082281.html
时尚名苑 交通便利 户型方正三房,时尚明苑,47558,车陂,113.400706,23.131288,https://gz.lianjia.com/ershoufang/GZ0003095737.html
东山一品 间隔方正 光线良好 楼新安静,嘉富广场东山一品,80909,水荫,113.318,23.145884,https://gz.lianjia.com/ershoufang/GZ0002245485.html
尚河居 电梯2房1厅 通风采光好 北向,尚河居,60000,天河南,113.326293,23.13712,https://gz.lianjia.com/ershoufang/GZ0003052890.html
天河北 天誉华庭 南北对流 厅大房大,天誉华庭,58125,龙口西,113.34354,23.144709,https://gz.lianjia.com/ershoufang/GZ0002723034.html
白云高尔夫花园 精致两房 有花园,白云高尔夫花园西区,32083,黄石路,113.272629,23.207087,https://gz.lianjia.com/ershoufang/GZ0002763245.html
名汇商业大厦 商业繁华 配套成熟,名汇商业大厦,33474,西关,113.253638,23.120926,https://gz.lianjia.com/ershoufang/GZ0002973113.html
高层精装修三房 送入户花园 可望江,富力银禧花园,66243,滨江东,113.299584,23.107896,https://gz.lianjia.com/ershoufang/GZ0002649386.html
华南碧桂园 翠云山六米南向大四房,华南碧桂园翠云山,31183,华南,113.383863,23.00782,https://gz.lianjia.com/ershoufang/GZ0002763351.html
浅山小筑 双阳台对流 望山望别墅景观,广州雅居乐花园浅山小筑,35926,华南,113.376764,23.010616,https://gz.lianjia.com/ershoufang/GZ0002787990.html
翠山蓝天4房 精装修  望花园,华南碧桂园翠山蓝天苑,33121,华南,113.362499,23.009352,https://gz.lianjia.com/ershoufang/GZ0002802560.html
富基广场 实用方正三房带主套,富基广场,45548,滨江中,113.278719,23.114925,https://gz.lianjia.com/ershoufang/GZ0002821047.html
岭南新世界 高层望花园 小三房,岭南新世界,43820,白云大道北,113.298809,23.240432,https://gz.lianjia.com/ershoufang/GZ0002865709.html
"翠云山大3房,景观好,望别墅,装修新",华南碧桂园翠云山,30455,华南,113.383863,23.00782,https://gz.lianjia.com/ershoufang/GZ0002867992.html
海珠半岛花园 江景 南北通透,海珠半岛花园,53369,滨江东,113.301627,23.109824,https://gz.lianjia.com/ershoufang/GZ0002902557.html
星河湾 荟心园 楼层好 采光好 看楼方便,广州星河湾荟心园,40541,华南,113.346408,23.033435,https://gz.lianjia.com/ershoufang/GZ0002953003.html
美林海岸花园 精装三房 保养非常好,美林海岸花园美林湾畔,64110,员村,113.37926,23.120557,https://gz.lianjia.com/ershoufang/GZ0002987409.html
锦明街小区 方正三房 厅出阳台,黄埔大道中锦明街,37506,天河公园,113.375967,23.128645,https://gz.lianjia.com/ershoufang/GZ0002990307.html
实用三房 精装修 安静舒适,水利电力学院教师宿舍,49263,天润路,113.341692,23.151067,https://gz.lianjia.com/ershoufang/GZ0002973345.html
温馨一房 格局方正 户型方正,振东花园,26089,东圃,113.416441,23.131135,https://gz.lianjia.com/ershoufang/GZ0003106586.html
锦绣香江山水园 精装修3房 采光好通风佳,锦绣香江花园山水园,39229,华南,113.342903,23.000994,https://gz.lianjia.com/ershoufang/GZ0002954545.html
育蕾小区 大两房 精装修 采光好,育蕾小区育蕾三街,46575,天河南,113.329367,23.134249,https://gz.lianjia.com/ershoufang/GZ0003003597.html
金碧花园 地铁就在家门囗 安静望花园,金碧花园第三金碧,43565,金碧,113.295173,23.071178,https://gz.lianjia.com/ershoufang/GZ0002824077.html
阳光假日园 中层两房 精装修,阳光假日园,46132,棠下,113.398451,23.13493,https://gz.lianjia.com/ershoufang/GZ0002846182.html
实用舒适单位 配套完善,小北路,52000,小北,113.278824,23.143018,https://gz.lianjia.com/ershoufang/GZ0002958834.html
骏景花园 南苑南向 户型方正 看房方便,骏景花园南苑骏扬轩,59242,棠下,113.390028,23.127383,https://gz.lianjia.com/ershoufang/GZ0003009112.html
协和新世界复式六房 南北向 双阳台 吉屋,协和新世界,52306,天河北,113.344584,23.147957,https://gz.lianjia.com/ershoufang/GZ0002396901.html
金田花苑 3室2厅 650万,金田花苑,51181,天河北,113.342589,23.148793,https://gz.lianjia.com/ershoufang/GZ0002649411.html
天晖阁 配套完善 住家舒适 大户型,天晖阁,49587,石牌,113.34078,23.134469,https://gz.lianjia.com/ershoufang/GZ0003065511.html
蓝天苑大3房大主套带入户花园 欧风保养好,华南碧桂园翠山蓝天苑,36645,华南,113.362499,23.009352,https://gz.lianjia.com/ershoufang/GZ0003074067.html
社会科学院宿舍 格局方正  温馨舒适,社会科学院宿舍,36975,黄石路,113.279811,23.204584,https://gz.lianjia.com/ershoufang/GZ0003076894.html
法政路 三房出售,法政路,53414,小北,113.280836,23.138224,https://gz.lianjia.com/ershoufang/GZ0003082748.html
自在温馨三房 望花园,自在城市花园自在康苑,28369,华南,113.35625,22.99326,https://gz.lianjia.com/ershoufang/GZ0003098255.html
远洋明苑 精装修三房 复式单位 保养好,远洋明苑,54217,东圃,113.418651,23.12539,https://gz.lianjia.com/ershoufang/GZ0003105616.html
锦绣生态园 菁华轩 温馨三房,锦绣生态园菁华轩,23060,钟村,113.310821,22.973467,https://gz.lianjia.com/ershoufang/GZ0003105983.html
前进路 实用温馨单位 配套完善,前进路,27466,前进路,113.282184,23.107747,https://gz.lianjia.com/ershoufang/GZ0003107778.html
保利百合 属于大型小区 房子保养好,保利百合花园雅园,46356,江燕路,113.283888,23.080549,https://gz.lianjia.com/ershoufang/GZ0002738689.html
华景新城  改善小三房 高层无遮挡,华景新城陶然庭园,62903,华景新城,113.36671,23.14856,https://gz.lianjia.com/ershoufang/GZ0002884311.html
美林海岸花园 别致小两房 望花园 过五年,美林海岸花园美林湾畔,64525,员村,113.37926,23.120557,https://gz.lianjia.com/ershoufang/GZ0002888213.html
骏逸苑 全南向3房 安静舒适,骏逸苑,65635,珠江新城东,113.35654,23.125634,https://gz.lianjia.com/ershoufang/GZ0002970850.html
映绿华庭 大三房户型方正 保养好拎包入住,富豪山庄映绿华庭,25749,祈福,113.358985,22.977781,https://gz.lianjia.com/ershoufang/GZ0003002992.html
赛拉维 精装三房 户型方正 安静,赛拉维,48565,员村,113.363866,23.127922,https://gz.lianjia.com/ershoufang/GZ0002440618.html
华南碧桂园 翠山蓝天苑 一楼带大花园,华南碧桂园翠山蓝天苑,29412,华南,113.362499,23.009352,https://gz.lianjia.com/ershoufang/GZ0002599126.html
华颖花园 南北对流 方正实用 居家舒适,华颖花园,29007,员村,113.36311,23.126942,https://gz.lianjia.com/ershoufang/GZ0002602513.html
东南向大3房 户型方正 保养新,保利百合花园芳园,45903,江燕路,113.282666,23.078949,https://gz.lianjia.com/ershoufang/GZ0003025986.html
富丽花苑 南北对流 大五房 产权清晰,富丽花苑体育东路,54464,天河南,113.336204,23.135826,https://gz.lianjia.com/ershoufang/GZ0002790150.html
马赛国际公寓 住宅性质 可上户口,马赛国际公寓,41060,珠江新城东,113.357947,23.129949,https://gz.lianjia.com/ershoufang/GZ0002622065.html
美好居 实用3房 采光通透 保养漂亮,美好居,41466,车陂,113.400238,23.131445,https://gz.lianjia.com/ershoufang/GZ0002767813.html
荔湾路荔京阁 中高层方正三房带主套,荔京阁,49841,荔湾路,113.250515,23.136541,https://gz.lianjia.com/ershoufang/GZ0003062530.html
新世纪花园 精装小三房  居住安静舒适,新世纪花园,28546,区府,113.469243,23.105079,https://gz.lianjia.com/ershoufang/GZ0003064148.html
同福中路 荟贤大厦 西南三房,荟贤大厦,49198,宝岗,113.26521,23.109613,https://gz.lianjia.com/ershoufang/GZ0003064926.html
森语星园 实用三房 证过五年,森语星园,38087,南洲,113.321499,23.074158,https://gz.lianjia.com/ershoufang/GZ0003026405.html
富力天朗明居 南向两房带大平台,富力天朗明居S区,46094,棠下,113.398136,23.132471,https://gz.lianjia.com/ershoufang/GZ0002748685.html
天诚广场实用两房 户型方正 少有户型 笋,天诚广场世纪华都,68386,天河北,113.347373,23.148609,https://gz.lianjia.com/ershoufang/GZ0002828783.html
合兴苑低层 带24方平台 可自己用 好房,合兴苑合兴苑,30882,花地大道,113.236936,23.098021,https://gz.lianjia.com/ershoufang/GZ0003086975.html
华江花园 方正两房 满五年 看房方便,华江花园,45599,天河公园,113.361347,23.131295,https://gz.lianjia.com/ershoufang/GZ0002867488.html
员村新街 地铁物业 南北通透,员村三横路员村新街,0,员村,113.372203,23.125869,https://gz.lianjia.com/ershoufang/GZ0002948951.html
保利林语山庄 精装修两房 采光通风好,保利林语山庄7区,32944,科学城,113.460919,23.187706,https://gz.lianjia.com/ershoufang/GZ0002955944.html
时代玫瑰园 东向望花园 精致3房,时代玫瑰园,39154,白云大道北,113.292806,23.230914,https://gz.lianjia.com/ershoufang/GZ0003011632.html
金燕花园 精装三房 户型方正 采光好,金燕花园,39640,粤垦,113.337188,23.163534,https://gz.lianjia.com/ershoufang/GZ0003017651.html
云山居 简装三房 东南向 户型方正,云山居,26471,白云大道北,113.303415,23.218302,https://gz.lianjia.com/ershoufang/GZ0003075949.html
沙面公园小区 精装三房 随时可看,六二三路沙面北街,37356,黄沙,113.249458,23.114004,https://gz.lianjia.com/ershoufang/GZ0003028176.html
瑞康大厦 经济产地 配套完善,瑞康大厦,24893,新港西,113.303411,23.093513,https://gz.lianjia.com/ershoufang/GZ0002640772.html
四季花园 高档住宅 精装修两房 园景单位,四季花园,37597,坑口,113.239208,23.078594,https://gz.lianjia.com/ershoufang/GZ0002716629.html
江南路紫金楼 送天台花园 南向两房,紫金楼,25804,江南大道,113.275326,23.105168,https://gz.lianjia.com/ershoufang/GZ0002724369.html
帝景苑 大三房 房大厅大 业主精心布置,帝景苑,57476,龙口西,113.342976,23.146311,https://gz.lianjia.com/ershoufang/GZ0002747935.html
康怡三房南向 自住保养好 二次装修过,祈福新村康怡居,25568,祈福,113.331753,22.9633,https://gz.lianjia.com/ershoufang/GZ0002748995.html
东方白云花园 电梯南向 3房 安静舒适,东方白云花园,23127,市桥,113.397452,22.95479,https://gz.lianjia.com/ershoufang/GZ0002786148.html
银丰花园 中层2房 南北对流 地铁物业,银丰花园银丰二街,23902,区府,113.461632,23.11499,https://gz.lianjia.com/ershoufang/GZ0002800266.html
翠山蓝天 带入户花园 可改四房,华南碧桂园翠山蓝天苑,38136,华南,113.362499,23.009352,https://gz.lianjia.com/ershoufang/GZ0002824884.html
兴禺大厦 户型方正 采光充足 交通便利,兴禺大厦,30086,粤垦,113.325829,23.159256,https://gz.lianjia.com/ershoufang/GZ0002846769.html
怡侨大厦 老华阳温馨二房 带30方平台,怡侨大厦,63611,体育中心,113.338615,23.147033,https://gz.lianjia.com/ershoufang/GZ0002849664.html
怡侨大厦 老华阳温馨二房 带30方平台,怡侨大厦,63611,体育中心,113.338615,23.147033,https://gz.lianjia.com/ershoufang/GZ0002849664.html
华葆明苑 三房出售 看房方便,华葆明苑,18968,市桥,113.362631,22.945141,https://gz.lianjia.com/ershoufang/GZ0002879325.html
生物药厂宿舍三房 南向望花园 住家之选,省生物药厂宿舍,58271,华景新城,113.365511,23.143427,https://gz.lianjia.com/ershoufang/GZ0002879990.html
波尔多新净两房 间隔方正实用,波尔多庄园,63325,淘金,113.30356,23.149199,https://gz.lianjia.com/ershoufang/GZ0002882147.html
芳草园 厅出阳台两房 南向望花园,芳草园B区,67143,天河北,113.343209,23.148811,https://gz.lianjia.com/ershoufang/GZ0002890495.html
自在城市花园 明苑大三房 楼层好 采光好,自在城市花园自在明苑,28792,华南,113.355571,22.994242,https://gz.lianjia.com/ershoufang/GZ0002899612.html
海珠半岛花园 一线望江,海珠半岛花园,59899,滨江东,113.301627,23.109824,https://gz.lianjia.com/ershoufang/GZ0002935130.html
美林海岸 安静望泳池 景观好 带主套,美林海岸花园海星苑,56881,员村,113.379237,23.119996,https://gz.lianjia.com/ershoufang/GZ0002976439.html
